Plant_Nb;Cane_nb;Req;Intermediate;Type;X;Y;Z;Inter;Row;L_Internode;L_Cumulated;Xabs;Yabs;Zabs
2;12;;;0;-13.44;9.86;-147.71;4.520652608;0;0;0;-13.44;9.86;147.71
2;12;;;0;-13.35;8.35;-147.96;1.53319927;1;1.53319927;1.53319927;-13.35;8.35;147.96
2;12;;;0;-13;4.43;-149.12;4.102986717;2;4.102986717;5.636185987;-13;4.43;149.12
2;12;;;0;-12.38;-0.17;-150.92;4.978393315;3;4.978393315;10.6145793;-12.38;-0.17;150.92
2;12;;;0;-11.79;-8.6;-150.43;8.464815414;4;8.464815414;19.07939472;-11.79;-8.6;150.43
2;12;;;0;-10.5;-14.61;-150.56;6.148259916;5;6.148259916;25.22765463;-10.5;-14.61;150.56
2;12;;;0;-7.92;-20.14;-150.67;6.103228654;6;6.103228654;31.33088329;-7.92;-20.14;150.67
2;12;;;0;-6.5;-26.17;-150.77;6.195748542;7;6.195748542;37.52663183;-6.5;-26.17;150.77
2;12;G;0;0;-4.97;-30.39;-150.53;4.49520856;8;4.49520856;42.02184039;-4.97;-30.39;150.53
2;13;;;0;6.19;13.1;-150.3;44.89965033;0;0;0;6.19;13.1;150.3
2;13;;;0;6.34;12.89;-149.29;1.04244904;1;1.04244904;1.04244904;6.34;12.89;149.29
2;13;;;0;6.94;11.89;-148.99;1.204159458;2;1.204159458;2.246608497;6.94;11.89;148.99
2;13;;;0;15.34;4.14;-148.05;11.46761091;3;11.46761091;13.71421941;15.34;4.14;148.05
2;13;;;0;20.31;-2.79;-146.47;8.673073273;4;8.673073273;22.38729268;20.31;-2.79;146.47
2;13;;;0;26.89;-9.48;-143.67;9.792471598;5;9.792471598;32.17976428;26.89;-9.48;143.67
2;13;;;0;31.3;-14.7;-137.17;9.431145211;6;9.431145211;41.61090949;31.3;-14.7;137.17
2;13;;;0;34.15;-18.97;-131.3;7.798224157;7;7.798224157;49.40913365;34.15;-18.97;131.3
2;13;;;0;36.57;-21.88;-123.27;8.877240562;8;8.877240562;58.28637421;36.57;-21.88;123.27
2;13;;;0;39.26;-27.52;-113.82;11.32908646;9;11.32908646;69.61546067;39.26;-27.52;113.82
2;13;;;0;40.56;-31.73;-105.53;9.388194715;10;9.388194715;79.00365538;40.56;-31.73;105.53
2;13;G;0;0;43.45;-37.66;-101.1;7.946187765;11;7.946187765;86.94984315;43.45;-37.66;101.1
2;14;;;1;10.07;21.45;-150.93;84.20953271;0;0;0;10.07;21.45;150.93
2;14;;;1;10.39;21.55;-151.96;1.083189734;1;1.083189734;1.083189734;10.39;21.55;151.96
2;14;;;1;10.09;22.85;-153.01;1.697792685;2;1.697792685;2.780982419;10.09;22.85;153.01
2;14;;;1;11.18;25.59;-154.98;3.546350237;3;3.546350237;6.327332655;11.18;25.59;154.98
2;14;;;1;12.27;30.93;-156.81;5.749139066;4;5.749139066;12.07647172;12.27;30.93;156.81
2;14;;;1;13.98;37.28;-158.19;6.719449382;5;6.719449382;18.7959211;13.98;37.28;158.19
2;14;;;1;16.46;47.32;-155.14;10.78213801;6;10.78213801;29.57805911;16.46;47.32;155.14
2;14;;;1;17.47;57.47;-150;11.42200508;7;11.42200508;41.00006419;17.47;57.47;150
2;14;;;1;20.48;66.88;-143.89;11.61638068;8;11.61638068;52.61644486;20.48;66.88;143.89
2;14;;;1;21.25;77.03;-132.27;15.44797074;9;15.44797074;68.0644156;21.25;77.03;132.27
2;14;1;1;1;21.36;88.36;-120.41;16.40245713;10;16.40245713;84.46687274;21.36;88.36;120.41
2;15;;;2;10.5;24.84;-148.66;70.36186822;0;0;0;10.5;24.84;148.66
2;15;;;2;10.58;24.51;-147.82;0.906035319;1;0.906035319;0.906035319;10.58;24.51;147.82
2;15;;;2;12.37;25.5;-144.61;3.806349958;2;3.806349958;4.712385277;12.37;25.5;144.61
2;15;;;2;18.77;25.89;-142.51;6.747006744;3;6.747006744;11.45939202;18.77;25.89;142.51
2;15;;;2;30.05;25.87;-142.03;11.29022586;4;11.29022586;22.74961788;30.05;25.87;142.03
2;15;;;2;40.67;22.02;-145.69;11.87444736;5;11.87444736;34.62406524;40.67;22.02;145.69
2;15;2;2;2;52.91;18.97;-150.73;13.58387647;6;13.58387647;48.20794171;52.91;18.97;150.73
2;16;;;0;15.94;16.96;-159.7;38.09569398;0;0;0;15.94;16.96;159.7
2;16;;;0;16.36;17.57;-160.07;0.827888881;1;0.827888881;0.827888881;16.36;17.57;160.07
2;16;;;0;17.13;18.9;-160.53;1.604182035;2;1.604182035;2.432070916;17.13;18.9;160.53
2;16;;;0;18.91;21.4;-162.03;3.41590398;3;3.41590398;5.847974896;18.91;21.4;162.03
2;16;;;0;21.72;27.35;-163.98;6.863024115;4;6.863024115;12.71099901;21.72;27.35;163.98
2;16;;;0;26.47;33.6;-167.88;8.765557598;5;8.765557598;21.47655661;26.47;33.6;167.88
2;16;;;0;31.57;46.44;-168.82;13.84771461;6;13.84771461;35.32427122;31.57;46.44;168.82
2;16;;;0;42.27;56.75;-162.17;16.27908474;7;16.27908474;51.60335596;42.27;56.75;162.17
2;16;;;0;48.23;61.89;-155.64;10.226539;8;10.226539;61.82989497;48.23;61.89;155.64
2;16;;;0;50.11;64.64;-150.32;6.276886171;9;6.276886171;68.10678114;50.11;64.64;150.32
2;16;;;0;56.97;64.82;-150.7;6.872874217;10;6.872874217;74.97965535;56.97;64.82;150.7
2;16;;;0;60.61;65.77;-151.77;3.911137942;11;3.911137942;78.8907933;60.61;65.77;151.77
2;16;;;0;64.87;65.7;-153.07;4.454492115;12;4.454492115;83.34528541;64.87;65.7;153.07
2;16;;;0;72.72;64.69;-153.93;7.961293865;13;7.961293865;91.30657927;72.72;64.69;153.93
2;16;G;0;0;78.17;65.22;-152.62;5.630230901;14;5.630230901;96.93681018;78.17;65.22;152.62
2;17;;;2;25.16;20.47;-153.87;69.38432892;0;0;0;25.16;20.47;153.87
2;17;;;2;25.11;21.07;-153.67;0.634428877;1;0.634428877;0.634428877;25.11;21.07;153.67
2;17;;;2;24.94;21.86;-153.72;0.809629545;2;0.809629545;1.444058422;24.94;21.86;153.72
2;17;;;2;24.89;25.12;-153.81;3.261625362;3;3.261625362;4.705683784;24.89;25.12;153.81
2;17;;;2;25.02;30.7;-154.88;5.683150535;4;5.683150535;10.38883432;25.02;30.7;154.88
2;17;;;2;25.14;38.09;-153.46;7.526147753;5;7.526147753;17.91498207;25.14;38.09;153.46
2;17;;;2;22.55;47.98;-150.26;10.71261873;6;10.71261873;28.6276008;22.55;47.98;150.26
2;17;;;2;20.12;59.74;-141.55;14.83464189;7;14.83464189;43.46224269;20.12;59.74;141.55
2;17;;;2;15.38;67.55;-131.71;13.42718511;8;13.42718511;56.8894278;15.38;67.55;131.71
2;17;2;2;2;11.77;75.69;-122.54;12.78204209;9;12.78204209;69.67146989;11.77;75.69;122.54
2;18;;;2;16.5;2.56;-168.03;86.25375296;0;0;0;16.5;2.56;168.03
2;18;;;2;16.46;3.01;-167.77;0.521248501;1;0.521248501;0.521248501;16.46;3.01;167.77
2;18;;;2;14.97;4.6;-167.52;2.1933308;2;2.1933308;2.714579302;14.97;4.6;167.52
2;18;;;2;11.8;5.76;-168.29;3.462282484;3;3.462282484;6.176861786;11.8;5.76;168.29
2;18;;;2;6.51;5.7;-170.04;5.572270632;4;5.572270632;11.74913242;6.51;5.7;170.04
2;18;;;2;-2.54;5.76;-172.12;9.286145594;5;9.286145594;21.03527801;-2.54;5.76;172.12
2;18;;;2;-10.52;4.37;-173.42;8.20381009;6;8.20381009;29.2390881;-10.52;4.37;173.42
2;18;;;2;-18.77;4.34;-172.74;8.278031167;7;8.278031167;37.51711927;-18.77;4.34;172.74
2;18;;;2;-29.7;-0.1;-172.87;11.79811002;8;11.79811002;49.31522929;-29.7;-0.1;172.87
2;18;;;2;-40.12;-0.04;-172.37;10.43216181;9;10.43216181;59.7473911;-40.12;-0.04;172.37
2;18;;;2;-52.99;1.13;-173.16;12.94719661;10;12.94719661;72.6945877;-52.99;1.13;173.16
2;18;;;2;-66.23;0.96;-173.56;13.24713177;11;13.24713177;85.94171947;-66.23;0.96;173.56
2;18;;;2;-79.82;5.04;-175.07;14.26935878;12;14.26935878;100.2110782;-79.82;5.04;175.07
2;18;;;2;-95.67;6.03;-181.52;17.14074386;13;17.14074386;117.3518221;-95.67;6.03;181.52
2;18;;;2;-105.58;12.81;-183.22;12.12709776;14;12.12709776;129.4789199;-105.58;12.81;183.22
2;18;;;2;-117.13;13.67;-188.22;12.61515359;15;12.61515359;142.0940735;-117.13;13.67;188.22
2;18;;;2;-129.36;17.48;-192.29;13.44075519;16;13.44075519;155.5348286;-129.36;17.48;192.29
2;18;;;2;-140.64;21.4;-193.01;11.96341088;17;11.96341088;167.4982395;-140.64;21.4;193.01
2;18;2;2;2;-148.92;26.64;-192.98;9.798821358;18;9.798821358;177.2970609;-148.92;26.64;192.98
2;19;;;1;17.42;4.41;-167.91;169.6810932;0;0;0;17.42;4.41;167.91
2;19;;;1;17.25;4;-168.39;0.653758365;1;0.653758365;0.653758365;17.25;4;168.39
2;19;;;1;16.49;3.45;-168.65;0.973498844;2;0.973498844;1.62725721;16.49;3.45;168.65
2;19;;;1;15.26;2.86;-170.7;2.462417511;3;2.462417511;4.089674721;15.26;2.86;170.7
2;19;1;1;1;12.93;3.13;-173.28;3.486861053;4;3.486861053;7.576535773;12.93;3.13;173.28
2;20;;;1;45.72;17.33;-154.32;40.45127563;0;0;0;45.72;17.33;154.32
2;20;;;1;45.62;17.51;-154.44;0.238327506;1;0.238327506;0.238327506;45.62;17.51;154.44
2;20;;;1;45.39;18.03;-154.82;0.683885955;2;0.683885955;0.922213461;45.39;18.03;154.82
2;20;;;1;45.39;19.58;-155.46;1.676931722;3;1.676931722;2.599145183;45.39;19.58;155.46
2;20;;;1;45.77;22.95;-156.78;3.63918947;4;3.63918947;6.238334653;45.77;22.95;156.78
2;20;;;1;45.68;28.77;-157.41;5.854690427;5;5.854690427;12.09302508;45.68;28.77;157.41
2;20;;;1;46.73;34.93;-158.98;6.44305828;6;6.44305828;18.53608336;46.73;34.93;158.98
2;20;;;1;46.97;44.48;-159.12;9.55404103;7;9.55404103;28.09012439;46.97;44.48;159.12
2;20;;;1;45.77;55.79;-161.45;11.60969423;8;11.60969423;39.69981862;45.77;55.79;161.45
2;20;;;1;43.42;66.58;-159.37;11.23712597;9;11.23712597;50.93694458;43.42;66.58;159.37
2;20;;;1;38.2;74.69;-153.46;11.31143669;10;11.31143669;62.24838127;38.2;74.69;153.46
2;20;;;1;33.05;85.62;-145.77;14.32213322;11;14.32213322;76.57051449;33.05;85.62;145.77
2;20;1;1;1;26.36;92.97;-138.8;12.13917213;12;12.13917213;88.70968662;26.36;92.97;138.8
2;21;;;0;46.26;17.18;-153.88;79.79687024;0;0;0;46.26;17.18;153.88
2;21;;;0;46.08;19.25;-153.21;2.183162843;1;2.183162843;2.183162843;46.08;19.25;153.21
2;21;;;0;46.03;21.71;-152.32;2.616524412;2;2.616524412;4.799687255;46.03;21.71;152.32
2;21;;;0;45.48;24.94;-148.95;4.700244674;3;4.700244674;9.49993193;45.48;24.94;148.95
